MEAN REVERSION 7-DAY ANALYSIS - EVERY TRADE TAKEN
Symbol,NEARUSDT
Timeframe,15m
Data Period,2026-01-20 18:00:00 to 2026-01-27 17:45:00
Initial Capital,$100
Leverage,10x
Position Size,$1000
SL Multiplier,0.75 ATR
TP Multiplier,3 ATR (4:1 R:R)
Entry Condition,Price dropped >2% in 5 candles AND in lower 30% of range
Total Trades,12
Wins,5
Losses,7
Timeouts,0
Win Rate,41.7%
Final Capital,$256.79
Total P&L,$156.79
Return,156.8%

PERFORMANCE BY BTC TREND
BTC Downtrend,Trades:5 Wins:3 WinRate:60.0%
BTC Sideways,Trades:7 Wins:2 WinRate:28.6%

Trade #,Entry Date/Time,Exit Date/Time,Hold Time (min),Entry Price,SL,TP,Exit Price,ATR,ATR%,5-Candle Return%,Position in Range%,Result,P&L ($),Capital Before,Capital After,BTC Trend,BTC 24h%,BTC 4h%,BTC Price
1,2026-01-21 16:30:00,2026-01-21 16:45:00,15,1.502000,1.489679,1.551286,1.489679,0.016429,1.09%,-2.91%,1.7%,LOSS,$-8.20,$100.00,$91.80,DOWNTREND,-2.19%,-0.52%,$88119.70
2,2026-01-21 16:45:00,2026-01-21 19:30:00,165,1.494000,1.480661,1.547357,1.547357,0.017786,1.19%,-3.24%,-10.0%,WIN,$32.78,$91.80,$124.58,DOWNTREND,-2.85%,-1.27%,$87562.30
3,2026-01-21 17:00:00,2026-01-21 19:30:00,150,1.491000,1.477018,1.546929,1.546929,0.018643,1.25%,-3.93%,2.8%,WIN,$46.73,$124.58,$171.31,DOWNTREND,-3.48%,-1.82%,$87279.40
4,2026-01-21 17:15:00,2026-01-21 19:30:00,135,1.494000,1.479536,1.551857,1.551857,0.019286,1.29%,-3.24%,7.0%,WIN,$66.34,$171.31,$237.66,DOWNTREND,-2.69%,-1.20%,$87741.00
5,2026-01-21 17:30:00,2026-01-21 19:30:00,120,1.494000,1.480768,1.546929,1.546929,0.017643,1.18%,-2.67%,9.6%,WIN,$84.20,$237.66,$321.85,SIDEWAYS,-1.97%,-0.88%,$87883.90
6,2026-01-22 15:15:00,2026-01-22 17:45:00,150,1.497000,1.489179,1.528286,1.528286,0.010429,0.70%,-2.03%,-15.8%,WIN,$67.26,$321.85,$389.11,SIDEWAYS,-1.51%,-1.43%,$88626.00
7,2026-01-23 19:15:00,2026-01-23 20:30:00,75,1.504000,1.492857,1.548571,1.492857,0.014857,0.99%,-2.02%,-27.8%,LOSS,$-28.83,$389.11,$360.29,SIDEWAYS,0.37%,0.97%,$89796.00
8,2026-01-23 19:30:00,2026-01-23 20:30:00,60,1.504000,1.492857,1.548571,1.492857,0.014857,0.99%,-2.02%,6.1%,LOSS,$-26.69,$360.29,$333.59,SIDEWAYS,0.04%,0.68%,$89830.10
9,2026-01-25 16:15:00,2026-01-25 18:00:00,105,1.458000,1.449857,1.490571,1.449857,0.010857,0.74%,-2.08%,8.9%,LOSS,$-18.63,$333.59,$314.96,SIDEWAYS,-1.36%,-0.72%,$88008.50
10,2026-01-25 16:30:00,2026-01-25 18:00:00,90,1.454000,1.445536,1.487857,1.445536,0.011286,0.78%,-2.55%,14.6%,LOSS,$-18.34,$314.96,$296.63,SIDEWAYS,-1.44%,-0.91%,$87898.60
11,2026-01-25 17:00:00,2026-01-25 18:00:00,60,1.455000,1.446107,1.490571,1.446107,0.011857,0.81%,-2.28%,17.4%,LOSS,$-18.13,$296.63,$278.50,SIDEWAYS,-1.70%,-1.00%,$87821.50
12,2026-01-25 19:15:00,2026-01-25 19:45:00,30,1.423000,1.411911,1.467357,1.411911,0.014786,1.04%,-2.20%,-36.4%,LOSS,$-21.70,$278.50,$256.79,DOWNTREND,-3.17%,-2.57%,$86427.30
