MEAN REVERSION BACKTEST RESULTS
Symbol,ETHUSDT
Timeframe,15m
Initial Capital,$100
Leverage,10x
Position Size,$1000
SL Multiplier,0.75 ATR
TP Multiplier,3 ATR (4:1 R:R)
Total Trades,11
Wins,4
Losses,7
Timeouts,0
Win Rate,36.4%
Final Capital,$191.27
Total P&L,$91.27
Return,91.3%

Trade #,Entry Date/Time,Exit Date/Time,Entry Price,SL Price,TP Price,Exit Price,ATR,ATR %,Risk %,Reward %,Position Size,Result,P&L ($),Capital Before,Capital After
1,2026-01-19 00:00:00,2026-01-19 00:15:00,3216.710000,3204.185000,3266.810000,3204.185000,16.700000,0.52%,0.39%,1.56%,$1000.00,LOSS,$-3.89,$100.00,$96.11
2,2026-01-19 00:15:00,2026-01-19 00:30:00,3202.710000,3187.738393,3262.596429,3187.738393,19.962143,0.62%,0.47%,1.87%,$961.06,LOSS,$-4.49,$96.11,$91.61
3,2026-01-19 00:30:00,2026-01-19 01:45:00,3219.210000,3202.507500,3286.020000,3202.507500,22.270000,0.69%,0.52%,2.08%,$916.14,LOSS,$-4.75,$91.61,$86.86
4,2026-01-19 00:45:00,2026-01-19 01:45:00,3210.670000,3193.491786,3279.382857,3193.491786,22.904286,0.71%,0.54%,2.14%,$868.60,LOSS,$-4.65,$86.86,$82.21
5,2026-01-19 01:00:00,2026-01-19 01:45:00,3215.010000,3197.416071,3285.385714,3197.416071,23.458571,0.73%,0.55%,2.19%,$822.13,LOSS,$-4.50,$82.21,$77.71
6,2026-01-21 16:30:00,2026-01-21 17:15:00,2887.310000,2866.079643,2972.231429,2866.079643,28.307143,0.98%,0.74%,2.94%,$777.14,LOSS,$-5.71,$77.71,$72.00
7,2026-01-21 16:45:00,2026-01-21 17:00:00,2889.940000,2867.318393,2980.426429,2867.318393,30.162143,1.04%,0.78%,3.13%,$720.00,LOSS,$-5.64,$72.00,$66.36
8,2026-01-21 17:00:00,2026-01-21 19:15:00,2871.600000,2847.318750,2968.725000,2968.725000,32.375000,1.13%,0.85%,3.38%,$663.64,WIN,$22.45,$66.36,$88.81
9,2026-01-21 17:15:00,2026-01-21 19:30:00,2890.100000,2864.763929,2991.444286,2991.444286,33.781429,1.17%,0.88%,3.51%,$888.10,WIN,$31.14,$88.81,$119.95
10,2026-01-21 17:30:00,2026-01-21 19:30:00,2896.480000,2872.473036,2992.507857,2992.507857,32.009286,1.11%,0.83%,3.32%,$1199.52,WIN,$39.77,$119.95,$159.72
11,2026-01-22 15:15:00,2026-01-22 18:15:00,2910.150000,2895.780536,2967.627857,2967.627857,19.159286,0.66%,0.49%,1.98%,$1597.20,WIN,$31.55,$159.72,$191.27
