DOGEUSDT 15m - EVERY CANDLE ANALYZED (Last 7 Days)
Entry Condition: 5-candle return < -2% AND position in range < 30%

Candle #,Date/Time,Open,High,Low,Close,5c Return %,10c High,10c Low,Position in Range %,Drop OK?,Position OK?,SIGNAL?
28,2026-01-21 01:15:00,0.125450,0.125570,0.125110,0.125360,1.55%,0.125810,0.123030,83.8%,NO,NO,
29,2026-01-21 01:30:00,0.125370,0.125820,0.125320,0.125460,1.37%,0.125810,0.123030,87.4%,NO,NO,
30,2026-01-21 01:45:00,0.125460,0.125750,0.125230,0.125710,1.13%,0.125820,0.123030,96.1%,NO,NO,
31,2026-01-21 02:00:00,0.125720,0.126440,0.125710,0.126360,1.02%,0.125820,0.123130,120.1%,NO,NO,
32,2026-01-21 02:15:00,0.126370,0.126430,0.126000,0.126050,0.48%,0.126440,0.123130,88.2%,NO,NO,
33,2026-01-21 02:30:00,0.126060,0.126100,0.125670,0.125940,0.46%,0.126440,0.123130,84.9%,NO,NO,
34,2026-01-21 02:45:00,0.125950,0.126150,0.125700,0.125790,0.26%,0.126440,0.123130,80.4%,NO,NO,
35,2026-01-21 03:00:00,0.125790,0.126040,0.125530,0.125710,0.00%,0.126440,0.123640,73.9%,NO,NO,
36,2026-01-21 03:15:00,0.125720,0.125880,0.125630,0.125750,-0.48%,0.126440,0.124280,68.1%,NO,NO,
37,2026-01-21 03:30:00,0.125760,0.125860,0.125400,0.125750,-0.24%,0.126440,0.125010,51.7%,NO,NO,
38,2026-01-21 03:45:00,0.125750,0.125750,0.125360,0.125450,-0.39%,0.126440,0.125110,25.6%,NO,YES,
39,2026-01-21 04:00:00,0.125450,0.125580,0.125220,0.125240,-0.44%,0.126440,0.125230,0.8%,NO,YES,
40,2026-01-21 04:15:00,0.125240,0.125680,0.125240,0.125660,-0.04%,0.126440,0.125220,36.1%,NO,NO,
41,2026-01-21 04:30:00,0.125660,0.125680,0.125430,0.125650,-0.08%,0.126440,0.125220,35.2%,NO,NO,
42,2026-01-21 04:45:00,0.125640,0.125650,0.125270,0.125270,-0.38%,0.126430,0.125220,4.1%,NO,YES,
43,2026-01-21 05:00:00,0.125280,0.125550,0.125210,0.125420,-0.02%,0.126150,0.125220,21.5%,NO,YES,
44,2026-01-21 05:15:00,0.125420,0.125470,0.125260,0.125370,0.10%,0.126150,0.125210,17.0%,NO,YES,
45,2026-01-21 05:30:00,0.125380,0.126030,0.125380,0.125930,0.21%,0.126040,0.125210,86.7%,NO,NO,
46,2026-01-21 05:45:00,0.125930,0.126320,0.125740,0.125830,0.14%,0.126030,0.125210,75.6%,NO,NO,
47,2026-01-21 06:00:00,0.125840,0.125840,0.125560,0.125770,0.40%,0.126320,0.125210,50.5%,NO,NO,
48,2026-01-21 06:15:00,0.125780,0.125790,0.125570,0.125710,0.23%,0.126320,0.125210,45.0%,NO,NO,
49,2026-01-21 06:30:00,0.125720,0.125720,0.125240,0.125250,-0.10%,0.126320,0.125210,3.6%,NO,YES,
50,2026-01-21 06:45:00,0.125260,0.125280,0.124950,0.125260,-0.53%,0.126320,0.125210,4.5%,NO,YES,
51,2026-01-21 07:00:00,0.125260,0.125650,0.125040,0.125320,-0.41%,0.126320,0.124950,27.0%,NO,YES,
52,2026-01-21 07:15:00,0.125320,0.125560,0.125260,0.125560,-0.17%,0.126320,0.124950,44.5%,NO,NO,
53,2026-01-21 07:30:00,0.125550,0.125550,0.124750,0.124870,-0.67%,0.126320,0.124950,-5.8%,NO,YES,
54,2026-01-21 07:45:00,0.124880,0.124950,0.124740,0.124910,-0.27%,0.126320,0.124750,10.2%,NO,YES,
55,2026-01-21 08:00:00,0.124920,0.125000,0.124490,0.124590,-0.53%,0.126320,0.124740,-9.5%,NO,YES,
56,2026-01-21 08:15:00,0.124600,0.124900,0.124460,0.124510,-0.65%,0.126320,0.124490,1.1%,NO,YES,
57,2026-01-21 08:30:00,0.124520,0.124600,0.123760,0.124070,-1.19%,0.125840,0.124460,-28.3%,NO,YES,
58,2026-01-21 08:45:00,0.124060,0.124370,0.123940,0.124280,-0.47%,0.125790,0.123760,25.6%,NO,YES,
59,2026-01-21 09:00:00,0.124280,0.124340,0.124000,0.124180,-0.58%,0.125720,0.123760,21.4%,NO,YES,
60,2026-01-21 09:15:00,0.124190,0.124560,0.124180,0.124530,-0.05%,0.125650,0.123760,40.7%,NO,NO,
61,2026-01-21 09:30:00,0.124520,0.124660,0.124370,0.124640,0.10%,0.125650,0.123760,46.6%,NO,NO,
62,2026-01-21 09:45:00,0.124640,0.124700,0.124210,0.124420,0.28%,0.125560,0.123760,36.7%,NO,NO,
63,2026-01-21 10:00:00,0.124420,0.124920,0.124330,0.124680,0.32%,0.125550,0.123760,51.4%,NO,NO,
64,2026-01-21 10:15:00,0.124670,0.124790,0.124450,0.124510,0.27%,0.125000,0.123760,60.5%,NO,NO,
65,2026-01-21 10:30:00,0.124510,0.124670,0.124330,0.124450,-0.06%,0.125000,0.123760,55.6%,NO,NO,
66,2026-01-21 10:45:00,0.124450,0.124510,0.124150,0.124150,-0.39%,0.124920,0.123760,33.6%,NO,NO,
67,2026-01-21 11:00:00,0.124150,0.124250,0.123930,0.124210,-0.17%,0.124920,0.123760,38.8%,NO,NO,
68,2026-01-21 11:15:00,0.124210,0.124410,0.124120,0.124270,-0.33%,0.124920,0.123930,34.3%,NO,NO,
69,2026-01-21 11:30:00,0.124270,0.124280,0.123980,0.124080,-0.35%,0.124920,0.123930,15.2%,NO,YES,
70,2026-01-21 11:45:00,0.124070,0.124120,0.122780,0.123010,-1.16%,0.124920,0.123930,-92.9%,NO,YES,
71,2026-01-21 12:00:00,0.123000,0.123160,0.121630,0.122070,-1.68%,0.124920,0.122780,-33.2%,NO,YES,
72,2026-01-21 12:15:00,0.122080,0.122250,0.121480,0.121660,-2.05%,0.124920,0.121630,0.9%,YES,YES,>>> SIGNAL <<<
73,2026-01-21 12:30:00,0.121650,0.122440,0.121500,0.122400,-1.50%,0.124920,0.121480,26.7%,NO,YES,
74,2026-01-21 12:45:00,0.122400,0.122740,0.122300,0.122730,-1.09%,0.124790,0.121480,37.8%,NO,NO,
75,2026-01-21 13:00:00,0.122720,0.123300,0.122650,0.123190,0.15%,0.124670,0.121480,53.6%,NO,NO,
76,2026-01-21 13:15:00,0.123190,0.123270,0.122910,0.123030,0.79%,0.124510,0.121480,51.2%,NO,NO,
77,2026-01-21 13:30:00,0.123020,0.123280,0.122710,0.122750,0.90%,0.124410,0.121480,43.3%,NO,NO,
78,2026-01-21 13:45:00,0.122760,0.122900,0.122300,0.122570,0.14%,0.124410,0.121480,37.2%,NO,NO,
79,2026-01-21 14:00:00,0.122560,0.125550,0.122460,0.125290,2.09%,0.124280,0.121480,136.1%,NO,NO,
80,2026-01-21 14:15:00,0.125300,0.125590,0.124740,0.125190,1.62%,0.125550,0.121480,91.2%,NO,NO,
81,2026-01-21 14:30:00,0.125180,0.126210,0.125020,0.125400,1.93%,0.125590,0.121480,95.4%,NO,NO,
82,2026-01-21 14:45:00,0.125410,0.125970,0.125080,0.125770,2.46%,0.126210,0.121480,90.7%,NO,NO,
83,2026-01-21 15:00:00,0.125770,0.125950,0.125300,0.125860,2.68%,0.126210,0.121500,92.6%,NO,NO,
84,2026-01-21 15:15:00,0.125860,0.126600,0.125290,0.125500,0.17%,0.126210,0.122300,81.8%,NO,NO,
85,2026-01-21 15:30:00,0.125490,0.125780,0.124950,0.125780,0.47%,0.126600,0.122300,80.9%,NO,NO,
86,2026-01-21 15:45:00,0.125780,0.126480,0.125610,0.126310,0.73%,0.126600,0.122300,93.3%,NO,NO,
87,2026-01-21 16:00:00,0.126310,0.126390,0.125370,0.125400,-0.29%,0.126600,0.122300,72.1%,NO,NO,
88,2026-01-21 16:15:00,0.125400,0.125450,0.124010,0.124690,-0.93%,0.126600,0.122300,55.6%,NO,NO,
89,2026-01-21 16:30:00,0.124690,0.124720,0.121170,0.121240,-3.39%,0.126600,0.122460,-29.5%,YES,YES,>>> SIGNAL <<<
90,2026-01-21 16:45:00,0.121250,0.122610,0.120340,0.120680,-4.05%,0.126600,0.121170,-9.0%,YES,YES,>>> SIGNAL <<<
91,2026-01-21 17:00:00,0.120690,0.122170,0.120310,0.120490,-4.61%,0.126600,0.120340,2.4%,YES,YES,>>> SIGNAL <<<
92,2026-01-21 17:15:00,0.120490,0.121700,0.120220,0.121500,-3.11%,0.126600,0.120310,18.9%,YES,YES,>>> SIGNAL <<<
93,2026-01-21 17:30:00,0.121500,0.122130,0.120860,0.121690,-2.41%,0.126600,0.120220,23.0%,YES,YES,>>> SIGNAL <<<
94,2026-01-21 17:45:00,0.121690,0.122100,0.121440,0.121960,0.59%,0.126600,0.120220,27.3%,NO,YES,
