MEAN REVERSION BACKTEST RESULTS
Symbol,DOGEUSDT
Timeframe,15m
Initial Capital,$100
Leverage,10x
Position Size,$1000
SL Multiplier,0.75 ATR
TP Multiplier,3 ATR (4:1 R:R)
Total Trades,10
Wins,5
Losses,4
Timeouts,1
Win Rate,50.0%
Final Capital,$351.48
Total P&L,$251.48
Return,251.5%

Trade #,Entry Date/Time,Exit Date/Time,Entry Price,SL Price,TP Price,Exit Price,ATR,ATR %,Risk %,Reward %,Position Size,Result,P&L ($),Capital Before,Capital After
1,2026-01-18 23:15:00,2026-01-18 23:30:00,0.133390,0.132864,0.135492,0.132864,0.000701,0.53%,0.39%,1.58%,$1000.00,LOSS,$-3.94,$100.00,$96.06
2,2026-01-18 23:30:00,2026-01-18 23:45:00,0.133280,0.132692,0.135631,0.132692,0.000784,0.59%,0.44%,1.76%,$960.60,LOSS,$-4.24,$96.06,$91.82
3,2026-01-18 23:45:00,2026-01-19 00:00:00,0.131560,0.130893,0.134230,0.130893,0.000890,0.68%,0.51%,2.03%,$918.25,LOSS,$-4.66,$91.82,$87.17
4,2026-01-19 00:00:00,2026-01-19 12:30:00,0.126230,0.124929,0.131435,0.127990,0.001735,1.37%,1.03%,4.12%,$871.66,TIMEOUT,$12.15,$87.17,$99.32
5,2026-01-21 12:15:00,2026-01-21 14:00:00,0.121660,0.121249,0.123306,0.123306,0.000549,0.45%,0.34%,1.35%,$993.19,WIN,$13.44,$99.32,$112.75
6,2026-01-21 16:30:00,2026-01-21 17:00:00,0.121240,0.120318,0.124930,0.120318,0.001230,1.01%,0.76%,3.04%,$1127.54,LOSS,$-8.58,$112.75,$104.17
7,2026-01-21 16:45:00,2026-01-21 19:15:00,0.120680,0.119655,0.124779,0.124779,0.001366,1.13%,0.85%,3.40%,$1041.75,WIN,$35.39,$104.17,$139.56
8,2026-01-21 17:00:00,2026-01-21 19:15:00,0.120490,0.119396,0.124866,0.124866,0.001459,1.21%,0.91%,3.63%,$1395.61,WIN,$50.68,$139.56,$190.24
9,2026-01-21 17:15:00,2026-01-21 19:30:00,0.121500,0.120359,0.126064,0.126064,0.001521,1.25%,0.94%,3.76%,$1902.44,WIN,$71.47,$190.24,$261.71
10,2026-01-21 17:30:00,2026-01-21 19:30:00,0.121690,0.120646,0.125864,0.125864,0.001391,1.14%,0.86%,3.43%,$2617.11,WIN,$89.77,$261.71,$351.48
