VOLUME IMBALANCE - 3 MINUTE CHART
Period: Dec 1 2025 - Jan 28 2026

Timeframe,3m
Max SL,1.5%
R:R Ratio,1:4

TRADE DETAILS
Trade,Symbol,Date,Entry,Support (SL),Risk %,Result,P&L %,Capital
61,DOGEUSDT,2025-12-13,0.13913899999999998,0.13834152,0.57,LOSS,-0.57,240.81
62,DOGEUSDT,2025-12-14,0.13829816,0.13785201,0.32,LOSS,-0.32,233.04
63,NEARUSDT,2025-12-14,1.6326309999999997,1.625373,0.44,LOSS,-0.44,222.68
64,NEARUSDT,2025-12-14,1.624623,1.606392,1.12,LOSS,-1.12,197.69
65,ETHUSDT,2025-12-14,3087.73465,3074.922,0.41,LOSS,-0.41,189.49
66,ETHUSDT,2025-12-14,3085.35227,3074.87205,0.34,LOSS,-0.34,183.05
67,NEARUSDT,2025-12-14,1.5995979999999999,1.5864120000000002,0.82,LOSS,-0.82,167.96
68,DOGEUSDT,2025-12-14,0.13421407999999999,0.13329657,0.68,LOSS,-0.68,156.48
69,DOGEUSDT,2025-12-14,0.13434421,0.13247739,1.39,BREAKEVEN,0.00,156.48
70,ETHUSDT,2025-12-15,2942.1091699999997,2919.34773,0.77,LOSS,-0.77,144.37
71,DOGEUSDT,2025-12-15,0.1284283,0.12756230999999998,0.67,LOSS,-0.67,134.64
72,NEARUSDT,2025-12-16,1.5365349999999998,1.516482,1.31,LOSS,-1.31,117.07
73,NEARUSDT,2025-12-16,1.5265249999999997,1.5194789999999998,0.46,LOSS,-0.46,111.66
74,DOGEUSDT,2025-12-16,0.12945932999999998,0.12896091,0.39,WIN_FULL,1.54,128.86
75,DOGEUSDT,2025-12-16,0.13076063,0.12969018,0.82,LOSS,-0.82,118.31
76,DOGEUSDT,2025-12-16,0.13180166999999998,0.12986001,1.47,LOSS,-1.47,100.88
77,DOGEUSDT,2025-12-17,0.12988975999999997,0.12936050999999998,0.41,LOSS,-0.41,96.77
78,ETHUSDT,2025-12-17,2934.64171,2925.53154,0.31,LOSS,-0.31,93.77
79,DOGEUSDT,2025-12-17,0.13037023999999997,0.12922065,0.88,WIN_FULL,3.53,126.84
80,NEARUSDT,2025-12-17,1.4914899999999998,1.477521,0.94,LOSS,-0.94,114.96
81,DOGEUSDT,2025-12-17,0.12588575999999999,0.12520467,0.54,LOSS,-0.54,108.74
82,DOGEUSDT,2025-12-18,0.12443430999999999,0.12372615000000001,0.57,WIN_FULL,2.28,133.50
83,ETHUSDT,2025-12-18,2889.0461599999994,2868.35877,0.72,WIN_FULL,2.86,171.73
84,NEARUSDT,2025-12-18,1.4374359999999997,1.420578,1.17,LOSS,-1.17,151.59
85,DOGEUSDT,2025-12-19,0.12124112,0.12043944,0.66,WIN_FULL,2.64,191.69
86,ETHUSDT,2025-12-19,2927.24432,2909.59749,0.60,LOSS,-0.60,180.13
87,NEARUSDT,2025-12-19,1.4214199999999997,1.403595,1.25,WIN_FULL,5.02,270.49
88,DOGEUSDT,2025-12-19,0.12685673,0.12579408,0.84,WIN_FULL,3.35,361.12
89,NEARUSDT,2025-12-19,1.5265249999999997,1.515483,0.72,WIN_LOCKED,0.72,387.24
90,NEARUSDT,2025-12-19,1.5425409999999997,1.5334649999999999,0.59,LOSS,-0.59,364.46
91,DOGEUSDT,2025-12-20,0.13122108999999998,0.13059927000000002,0.47,BREAKEVEN,0.00,364.46
92,NEARUSDT,2025-12-20,1.5105089999999997,1.504494,0.40,BREAKEVEN,0.00,364.46
93,DOGEUSDT,2025-12-20,0.13222209,0.131868,0.27,LOSS,-0.27,354.70
94,ETHUSDT,2025-12-20,2981.7687899999996,2971.58544,0.34,LOSS,-0.34,342.58
95,ETHUSDT,2025-12-21,2976.4034299999994,2959.37766,0.57,BREAKEVEN,0.00,342.58
96,DOGEUSDT,2025-12-21,0.12938926,0.12899088,0.31,BREAKEVEN,0.00,342.58
97,DOGEUSDT,2025-12-21,0.12979967,0.12899088,0.62,WIN_FULL,2.49,427.97
98,DOGEUSDT,2025-12-22,0.13220206999999998,0.13143843,0.58,LOSS,-0.58,403.25
99,ETHUSDT,2025-12-22,3019.5064899999993,2999.00799,0.68,BREAKEVEN,0.00,403.25
100,DOGEUSDT,2025-12-22,0.1318317,0.13131855,0.39,LOSS,-0.39,387.55
101,DOGEUSDT,2025-12-22,0.13156142999999998,0.13097889000000001,0.44,WIN_LOCKED,0.44,404.71
102,NEARUSDT,2025-12-23,1.4864849999999998,1.4755230000000001,0.74,LOSS,-0.74,374.87
103,DOGEUSDT,2025-12-23,0.13058045,0.12978009,0.61,LOSS,-0.61,351.89
104,DOGEUSDT,2025-12-23,0.13044031,0.12902085,1.09,LOSS,-1.09,313.60
105,ETHUSDT,2025-12-23,2952.20926,2927.6693999999998,0.83,LOSS,-0.83,287.53
106,ETHUSDT,2025-12-23,2942.8298899999995,2906.04105,1.25,LOSS,-1.25,251.59
107,NEARUSDT,2025-12-24,1.4554539999999998,1.434564,1.44,BREAKEVEN,0.00,251.59
108,NEARUSDT,2025-12-26,1.4574559999999999,1.4515470000000001,0.41,WIN_LOCKED,0.41,261.79
109,DOGEUSDT,2025-12-26,0.12426413999999998,0.12371616,0.44,WIN_FULL,1.76,307.96
110,NEARUSDT,2025-12-26,1.498497,1.479519,1.27,WIN_LOCKED,1.27,346.96
111,ETHUSDT,2025-12-26,2971.8588899999995,2961.64539,0.34,LOSS,-0.34,335.04
112,ETHUSDT,2025-12-26,2924.1612399999995,2904.07302,0.69,TIMEOUT,0.88,364.60
113,DOGEUSDT,2025-12-28,0.12406393999999998,0.12355632,0.41,LOSS,-0.41,349.68
114,ETHUSDT,2025-12-28,2943.1001599999995,2928.62844,0.49,LOSS,-0.49,332.49
115,DOGEUSDT,2025-12-28,0.12374361999999998,0.12328659,0.37,LOSS,-0.37,320.21
116,ETHUSDT,2025-12-28,2938.50557,2927.4096600000003,0.38,WIN_FULL,1.51,368.57
117,DOGEUSDT,2025-12-29,0.12609596999999997,0.12490497,0.94,LOSS,-0.94,333.76
118,DOGEUSDT,2025-12-29,0.12372359999999999,0.12310677,0.50,LOSS,-0.50,317.12
119,NEARUSDT,2025-12-29,1.5215199999999998,1.512486,0.59,LOSS,-0.59,298.29
120,DOGEUSDT,2025-12-29,0.12275262999999999,0.12215772,0.48,WIN_FULL,1.94,356.12
121,DOGEUSDT,2025-12-30,0.12476463999999998,0.12432555,0.35,LOSS,-0.35,343.58
122,ETHUSDT,2025-12-30,2985.8528699999997,2970.3766499999997,0.52,LOSS,-0.52,325.77
123,DOGEUSDT,2025-12-30,0.12386373999999999,0.12304683,0.66,LOSS,-0.66,304.29
124,DOGEUSDT,2025-12-30,0.12288275999999998,0.12243744000000001,0.36,BREAKEVEN,0.00,304.29
125,NEARUSDT,2025-12-31,1.4874859999999999,1.477521,0.67,WIN_FULL,2.68,385.83
126,DOGEUSDT,2025-12-31,0.11770758999999999,0.11738249999999999,0.28,LOSS,-0.28,375.17
127,DOGEUSDT,2026-01-01,0.11807795999999998,0.11775213,0.28,BREAKEVEN,0.00,375.17
128,ETHUSDT,2026-01-01,2983.8808999999997,2970.0170099999996,0.46,WIN_FULL,1.86,444.90
129,NEARUSDT,2026-01-02,1.6446429999999999,1.635363,0.56,LOSS,-0.56,419.80
130,DOGEUSDT,2026-01-02,0.12833820999999998,0.12759228,0.58,WIN_FULL,2.32,517.39
131,ETHUSDT,2026-01-02,3058.055,3039.24771,0.62,LOSS,-0.62,485.57
132,NEARUSDT,2026-01-02,1.6346329999999998,1.612386,1.36,TIMEOUT,4.61,709.45
133,DOGEUSDT,2026-01-04,0.14328313999999998,0.14263721999999998,0.45,WIN_FULL,1.80,837.38
134,DOGEUSDT,2026-01-04,0.14710695999999998,0.14602383,0.74,WIN_FULL,2.95,1084.00
135,ETHUSDT,2026-01-04,3153.5604099999996,3138.5782799999997,0.48,LOSS,-0.48,1032.50
136,NEARUSDT,2026-01-04,1.7097079999999998,1.690308,1.13,WIN_FULL,4.54,1501.14
137,ETHUSDT,2026-01-05,3167.3541899999996,3132.17469,1.11,WIN_FULL,4.44,2168.05
138,NEARUSDT,2026-01-06,1.797796,1.7732249999999998,1.37,LOSS,-1.37,1871.74
139,NEARUSDT,2026-01-06,1.7557539999999998,1.7452530000000002,0.60,WIN_FULL,2.39,2319.53
140,DOGEUSDT,2026-01-06,0.14821806999999998,0.14706279,0.78,BREAKEVEN,0.00,2319.53
141,DOGEUSDT,2026-01-07,0.14782768,0.14678307000000002,0.71,WIN_FULL,2.83,2975.16
142,NEARUSDT,2026-01-07,1.7667649999999997,1.759239,0.43,LOSS,-0.43,2848.42
143,DOGEUSDT,2026-01-07,0.14828813999999998,0.14738247,0.61,LOSS,-0.61,2674.45
144,DOGEUSDT,2026-01-07,0.14672657999999997,0.1449549,1.21,LOSS,-1.21,2351.52
145,NEARUSDT,2026-01-07,1.7257239999999998,1.714284,0.66,LOSS,-0.66,2195.64
146,ETHUSDT,2026-01-07,3157.07392,3140.56629,0.52,LOSS,-0.52,2080.83
147,NEARUSDT,2026-01-08,1.7157139999999997,1.7002979999999999,0.90,LOSS,-0.90,1893.87
148,NEARUSDT,2026-01-08,1.6826809999999999,1.665333,1.03,BREAKEVEN,0.00,1893.87
149,DOGEUSDT,2026-01-08,0.14271256999999998,0.14121864,1.05,LOSS,-1.05,1695.61
150,DOGEUSDT,2026-01-08,0.14005991999999998,0.13908078000000001,0.70,LOSS,-0.70,1577.08
151,DOGEUSDT,2026-01-08,0.13962949,0.13841145000000002,0.87,LOSS,-0.87,1439.50
152,DOGEUSDT,2026-01-08,0.13960946999999999,0.13809177,1.09,BREAKEVEN,0.00,1439.50
153,NEARUSDT,2026-01-09,1.6806789999999998,1.673325,0.44,LOSS,-0.44,1376.51
154,NEARUSDT,2026-01-09,1.684683,1.6673310000000001,1.03,WIN_FULL,4.12,1943.63
155,NEARUSDT,2026-01-09,1.684683,1.6753230000000001,0.56,WIN_LOCKED,0.56,2051.62
156,NEARUSDT,2026-01-10,1.6976959999999999,1.685313,0.73,LOSS,-0.73,1901.97
157,NEARUSDT,2026-01-10,1.6866849999999998,1.67832,0.50,LOSS,-0.50,1807.65
158,DOGEUSDT,2026-01-10,0.14019004999999998,0.13983003000000002,0.26,LOSS,-0.26,1761.22
159,NEARUSDT,2026-01-10,1.6826809999999999,1.672326,0.62,WIN_FULL,2.46,2194.76
160,DOGEUSDT,2026-01-10,0.14024009999999998,0.13973013,0.36,LOSS,-0.36,2114.95
161,ETHUSDT,2026-01-10,3099.4863899999996,3091.6852200000003,0.25,LOSS,-0.25,2061.72
162,DOGEUSDT,2026-01-10,0.14015001,0.13937048999999999,0.56,LOSS,-0.56,1947.04
163,ETHUSDT,2026-01-11,3093.3903,3083.913,0.31,WIN_FULL,1.23,2185.65
164,NEARUSDT,2026-01-11,1.7117099999999998,1.702296,0.55,BREAKEVEN,0.00,2185.65
